,na,nb,objective,rbf_variance,rbf_lengthscale,noise_variance,train_rms,val_rms,test_rms
22,4,6,-69109.4312159419,0.2967436151445986,"[12.830740154, 11.471487140706067, 11.514257622022086, 13.529234274468593, 11.331257637503295, 10.373869068562264, 10.370897638497018, 9.73749383886413, 8.720270039996805, 8.76137695170537]",7.128823891749023e-05,0.003680689898029514,0.0036306302563504883,0.004460210836532579
23,4,7,-70950.18452200294,1.7038011867330918,"[21.436594145289835, 20.873958689215744, 20.83670581539832, 22.42922971678284, 17.911356171050876, 17.517207917100272, 17.715948092197458, 17.51172342967171, 16.44466286729486, 15.396127111568122, 15.177442533810828]",5.894152322146004e-05,0.003608345487470435,0.003477327218825166,0.0037072357631264866
24,4,8,-70216.36747816205,4.475830743257623,"[30.17971941500684, 29.820173300110824, 30.055612216586145, 30.872004274710864, 27.661243773055705, 25.94645603729411, 24.68473925971279, 24.179331428273194, 24.172679423302778, 24.45481268921258, 24.711143412339037, 24.97301730736911]",6.220910663557061e-05,0.0036880633239621177,0.0035784249286957785,0.0041224240122143775
25,4,9,-70080.98022255301,1.951303581332368,"[25.044438406840666, 25.89544425809154, 26.299036874523875, 26.74167805414, 24.023824153636866, 21.933720389561127, 20.144571585266007, 19.428715019146395, 20.15129827552409, 21.7649611003849, 23.245413418241636, 23.984910601960575, 23.93291132208077]",6.678076247584195e-05,0.0036241341794667685,0.003499156463718435,0.0037532256300772653
26,4,10,-68347.57973632216,0.26104423721757014,"[18.158018988542903, 18.701646160643943, 19.329332439487764, 20.71544952185845, 16.88149631091365, 15.908596460702785, 15.078720376639417, 14.74494480708969, 15.093332420325696, 15.851791732502386, 16.41767036980038, 16.447381787694365, 15.913742220804092, 14.649750197610244]",6.700601413758259e-05,0.003711008373811219,0.003633387996161184,0.0043998322085551074
27,5,2,-68199.20533269644,1.3798181850716449,"[13.867318491126037, 14.601253730454925, 15.08955828259822, 14.240208501303194, 13.258781690929526, 14.174727175404607, 10.831134513647749]",7.905939728566647e-05,0.004057959888752349,0.003921361414985083,0.004092532329821019
28,5,3,-64897.13402801752,0.1282774539956074,"[8.168201108040684, 7.052512733463922, 6.6642827214888, 6.92223486443411, 7.85558819856512, 8.12167980280029, 7.248586637644965, 5.067948546730391]",9.194501321676937e-05,0.004227597848085152,0.004154909452164893,0.0052905467760494046
29,5,4,-69982.46688312292,0.5623246444947082,"[15.029728141186453, 11.841432597785543, 11.563619568017875, 12.339062187447235, 15.99976123848118, 14.30393084536415, 12.605247265593272, 11.045375430979554, 7.015280351374087]",6.52861517059412e-05,0.0036981198612262593,0.0035583034442566923,0.0037257591517220077
30,5,5,-70096.73300874233,0.6851752864077465,"[16.078479633774933, 13.86857004214232, 13.54111341717308, 13.990333059728243, 16.932847184161588, 14.797669120089822, 13.380759562495703, 13.400318862448342, 11.55890196937485, 9.22174593520678]",6.678963340024752e-05,0.0036674550816045174,0.0035526194276572203,0.00385284888219222
31,5,6,-70636.66846987605,2.2227110112030544,"[26.087265429445296, 24.0954633597701, 23.663503914847123, 23.433458848266376, 26.9885957077238, 24.09568691362251, 23.14083974506118, 23.016225194514128, 21.3134144351974, 18.885224686070533, 18.083887009535765]",6.343881521812618e-05,0.0036489513207902456,0.0035076041321379058,0.0038072628793098416
